region	tags	indicator	Всего / 3	Из графы 3 прошли за последние три года: / повышение квалифика-ции и (или) профессио-нальную перепод-готовку / 4	Из графы 3 прошли за последние три года: / из них: / по профилю педагогиче-ской деятельнос-ти / 5	Из графы 3 прошли за последние три года: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий / 6	Из графы 3 прошли за последние три года: / из них: / в форме стажировки / 7	Из графы 3 прошли за последние три года: / в том числе (из гр. 7) в ведущих российских и зарубежных университе- тах и научных центрах / 8	Из графы 3 прошли за последние три года: / из них (из гр. 8) в зарубежных университе-тах и научных центрах / 9	Из граф 4-8 прошли в предыдущем учебном году: / повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) / 10	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по профилю педагогиче- ской деятельнос-ти (из гр. 5) / 11	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) / 12	Из граф 4-8 прошли в предыдущем учебном году: / из них: / в форме стажировки (из гр. 7) / 13	Из граф 4-8 прошли в предыдущем учебном году: / в том числе (из гр. 8) в ведущих российских и зарубежных университе- тах и научных центрах / 14	Из граф 4-8 прошли в предыдущем учебном году: / из них (из гр. 9) в зарубежных университе-тах и научных центрах / 15
Алтайский край	персонал; Государственные, Муниципальные	преподаватели / 15	74.0	60.0	44.0	49.0	2.0	2.0	0.0	41.0	19.0	16.0	1.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	проректоры / 04	34.0	29.0	25.0	13.0	7.0	3.0	1.0	20.0	19.0	7.0	3.0	2.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	профессора / 12	205.0	191.0	168.0	148.0	10.0	5.0	2.0	113.0	86.0	39.0	1.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	53.0	14.0	2.0	10.0	0.0	0.0	0.0	7.0	1.0	4.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 24	17.0	7.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	36.0	17.0	6.0	11.0	2.0	0.0	0.0	7.0	3.0	4.0	1.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	старшие преподаватели / 14	340.0	302.0	218.0	224.0	44.0	19.0	5.0	213.0	128.0	83.0	6.0	3.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	техники-электроники / 30	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Инженерно-технический персонал / 19	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Научные работники / 18	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Педагогические работники - всего (сумма строк 07,17): / 06	37.0	33.0	17.0	24.0	1.0	0.0	0.0	30.0	13.0	19.0	1.0	0.0	0.0
Алтайский край	персонал; Частные	Руководящий персонал - всего / 01	12.0	7.0	3.0	5.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Учебно-вспомогательный персонал / 20	12.0	4.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	ассистенты / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе: деканы факультетов / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
