region	tags	indicator	Всего / 3	Из графы 3 прошли за последние три года: / повышение квалифика-ции и (или) профессио-нальную перепод-готовку / 4	Из графы 3 прошли за последние три года: / из них: / по профилю педагогиче-ской деятельнос-ти / 5	Из графы 3 прошли за последние три года: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий / 6	Из графы 3 прошли за последние три года: / из них: / в форме стажировки / 7	Из графы 3 прошли за последние три года: / в том числе (из гр. 7) в ведущих российских и зарубежных университе- тах и научных центрах / 8	Из графы 3 прошли за последние три года: / из них (из гр. 8) в зарубежных университе-тах и научных центрах / 9	Из граф 4-8 прошли в предыдущем учебном году: / повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) / 10	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по профилю педагогиче- ской деятельнос-ти (из гр. 5) / 11	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) / 12	Из граф 4-8 прошли в предыдущем учебном году: / из них: / в форме стажировки (из гр. 7) / 13	Из граф 4-8 прошли в предыдущем учебном году: / в том числе (из гр. 8) в ведущих российских и зарубежных университе- тах и научных центрах / 14	Из граф 4-8 прошли в предыдущем учебном году: / из них (из гр. 9) в зарубежных университе-тах и научных центрах / 15
Курганская область	персонал; Частные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Курганская область	персонал; Частные	Учебно-вспомогательный персонал / 20	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Курганская область	персонал; Частные	ассистенты / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	в том числе: деканы факультетов / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	в том числе: профессорско-преподавательский  состав - всего: / 07	7.0	7.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0
Курганская область	персонал; Частные	графические и мультимедийные дизайнеры / 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	директор филиала / 05	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Курганская область	персонал; Частные	директора институтов / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	доценты / 13	4.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
Курганская область	персонал; Частные	заведующие кафедрами / 10	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Курганская область	персонал; Частные	из них:  ректор / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	7.0	7.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0
Курганская область	персонал; Частные	инженеры по телекоммуникациям / 26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	инженеры-электроники / 25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	иные педагогические работники / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	преподаватели / 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	проректоры / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	профессора / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	специалисты по базам данных и сетям / 24	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Курганская область	персонал; Частные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	старшие преподаватели / 14	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Курганская область	персонал; Частные	техники-электроники / 30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	137.0	37.0	4.0	7.0	0.0	0.0	0.0	17.0	3.0	6.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Научные работники / 18	121.0	38.0	6.0	9.0	0.0	0.0	0.0	22.0	2.0	2.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	1598.0	1552.0	1114.0	992.0	7.0	3.0	3.0	1014.0	533.0	380.0	3.0	1.0	1.0
Курская область	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	184.0	114.0	68.0	50.0	0.0	0.0	0.0	84.0	21.0	22.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	81.0	42.0	8.0	13.0	0.0	0.0	0.0	19.0	6.0	7.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	639.0	184.0	20.0	45.0	0.0	0.0	0.0	94.0	6.0	14.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	ассистенты / 16	180.0	178.0	175.0	178.0	0.0	0.0	0.0	134.0	111.0	64.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	13.0	10.0	2.0	5.0	0.0	0.0	0.0	6.0	1.0	3.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	28.0	28.0	17.0	22.0	0.0	0.0	0.0	24.0	13.0	4.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	1595.0	1549.0	1114.0	992.0	7.0	3.0	3.0	1014.0	533.0	380.0	3.0	1.0	1.0
Курская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	директор филиала / 05	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	директора институтов / 11	4.0	4.0	3.0	4.0	0.0	0.0	0.0	4.0	2.0	4.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	доценты / 13	840.0	824.0	535.0	441.0	3.0	0.0	0.0	552.0	245.0	197.0	2.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	заведующие кафедрами / 10	143.0	143.0	105.0	113.0	0.0	0.0	0.0	101.0	63.0	36.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	из них:  ректор / 02	5.0	4.0	3.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	1559.0	1516.0	1093.0	971.0	7.0	3.0	3.0	997.0	526.0	370.0	3.0	1.0	1.0
Курская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 26	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	инженеры-электроники / 25	11.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	иные педагогические работники / 17	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	преподаватели / 15	71.0	51.0	41.0	32.0	0.0	0.0	0.0	26.0	16.0	8.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	проректоры / 04	17.0	13.0	8.0	5.0	0.0	0.0	0.0	9.0	3.0	2.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	профессора / 12	176.0	174.0	129.0	112.0	2.0	1.0	1.0	101.0	41.0	37.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	18.0	10.0	4.0	2.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 24	9.0	7.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	23.0	7.0	2.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	старшие преподаватели / 14	117.0	114.0	88.0	69.0	2.0	2.0	2.0	55.0	35.0	20.0	1.0	1.0	1.0
Курская область	персонал; Государственные, Муниципальные	техники-электроники / 30	4.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Курская область	персонал; Частные	Инженерно-технический персонал / 19	12.0	6.0	1.0	5.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0
Курская область	персонал; Частные	Научные работники / 18	3.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	Педагогические работники - всего (сумма строк 07,17): / 06	80.0	66.0	47.0	40.0	7.0	5.0	5.0	36.0	25.0	4.0	6.0	5.0	5.0
Курская область	персонал; Частные	Руководящий персонал - всего / 01	22.0	22.0	15.0	11.0	5.0	3.0	3.0	17.0	10.0	2.0	3.0	3.0	3.0
Курская область	персонал; Частные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	7.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	Учебно-вспомогательный персонал / 20	27.0	17.0	3.0	8.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0
Курская область	персонал; Частные	ассистенты / 16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	в том числе: деканы факультетов / 09	5.0	5.0	5.0	2.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	в том числе: профессорско-преподавательский  состав - всего: / 07	80.0	66.0	47.0	40.0	7.0	5.0	5.0	36.0	25.0	4.0	6.0	5.0	5.0
Курская область	персонал; Частные	графические и мультимедийные дизайнеры / 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	директор филиала / 05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Курская область	персонал; Частные	директора институтов / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	доценты / 13	43.0	32.0	22.0	24.0	6.0	4.0	4.0	15.0	8.0	2.0	5.0	4.0	4.0
Курская область	персонал; Частные	заведующие кафедрами / 10	8.0	8.0	8.0	1.0	1.0	1.0	1.0	8.0	7.0	1.0	1.0	1.0	1.0
Курская область	персонал; Частные	из них:  ректор / 02	3.0	3.0	2.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0
Курская область	персонал; Частные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	80.0	66.0	47.0	40.0	7.0	5.0	5.0	36.0	25.0	4.0	6.0	5.0	5.0
Курская область	персонал; Частные	инженеры по телекоммуникациям / 26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	инженеры-электроники / 25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	иные педагогические работники / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	президент / 03	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	преподаватели / 15	4.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	проректоры / 04	8.0	8.0	7.0	3.0	1.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	профессора / 12	10.0	8.0	4.0	4.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0
Курская область	персонал; Частные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	специалисты по базам данных и сетям / 24	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	старшие преподаватели / 14	10.0	9.0	4.0	5.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
Курская область	персонал; Частные	техники-электроники / 30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	8.0	4.0	2.0	2.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Научные работники / 18	5.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	281.0	255.0	165.0	166.0	13.0	13.0	12.0	175.0	108.0	105.0	13.0	13.0	12.0
Ленинградская область	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	45.0	32.0	15.0	12.0	2.0	1.0	1.0	25.0	11.0	12.0	2.0	1.0	1.0
Ленинградская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	8.0	3.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	114.0	93.0	18.0	51.0	1.0	1.0	1.0	29.0	5.0	15.0	1.0	1.0	1.0
Ленинградская область	персонал; Государственные, Муниципальные	ассистенты / 16	5.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	4.0	4.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	271.0	250.0	160.0	166.0	13.0	13.0	12.0	170.0	103.0	105.0	13.0	13.0	12.0
Ленинградская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	директор филиала / 05	7.0	5.0	3.0	3.0	0.0	0.0	0.0	4.0	3.0	3.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	директора институтов / 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	доценты / 13	134.0	119.0	78.0	77.0	5.0	5.0	4.0	78.0	49.0	47.0	5.0	5.0	4.0
Ленинградская область	персонал; Государственные, Муниципальные	заведующие кафедрами / 10	19.0	19.0	12.0	14.0	1.0	1.0	1.0	13.0	8.0	6.0	1.0	1.0	1.0
Ленинградская область	персонал; Государственные, Муниципальные	из них:  ректор / 02	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	271.0	250.0	160.0	166.0	13.0	13.0	12.0	170.0	103.0	105.0	13.0	13.0	12.0
Ленинградская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	инженеры-электроники / 25	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	иные педагогические работники / 17	10.0	5.0	5.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	преподаватели / 15	10.0	9.0	6.0	9.0	2.0	2.0	2.0	6.0	3.0	6.0	2.0	2.0	2.0
Ленинградская область	персонал; Государственные, Муниципальные	проректоры / 04	4.0	3.0	0.0	3.0	1.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	профессора / 12	32.0	30.0	17.0	21.0	2.0	2.0	2.0	22.0	12.0	12.0	2.0	2.0	2.0
Ленинградская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 24	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	старшие преподаватели / 14	67.0	65.0	43.0	41.0	3.0	3.0	3.0	45.0	27.0	32.0	3.0	3.0	3.0
Ленинградская область	персонал; Государственные, Муниципальные	техники-электроники / 30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	111.0	50.0	34.0	15.0	0.0	0.0	0.0	32.0	10.0	9.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Научные работники / 18	15.0	6.0	5.0	6.0	0.0	0.0	0.0	5.0	1.0	3.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	840.0	829.0	674.0	794.0	6.0	0.0	0.0	525.0	224.0	421.0	2.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	169.0	113.0	37.0	98.0	0.0	0.0	0.0	89.0	14.0	76.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	42.0	21.0	3.0	20.0	0.0	0.0	0.0	16.0	1.0	15.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	252.0	87.0	35.0	70.0	0.0	0.0	0.0	49.0	4.0	44.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	ассистенты / 16	12.0	11.0	5.0	11.0	0.0	0.0	0.0	10.0	4.0	9.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	10.0	8.0	2.0	8.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	6.0	6.0	5.0	6.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	822.0	813.0	660.0	779.0	6.0	0.0	0.0	522.0	222.0	420.0	2.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	директор филиала / 05	2.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	директора институтов / 11	16.0	16.0	16.0	16.0	0.0	0.0	0.0	16.0	12.0	13.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	доценты / 13	472.0	468.0	377.0	456.0	5.0	0.0	0.0	305.0	129.0	255.0	1.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	заведующие кафедрами / 10	61.0	60.0	55.0	60.0	1.0	0.0	0.0	40.0	20.0	31.0	1.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	из них:  ректор / 02	3.0	3.0	2.0	3.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	822.0	813.0	660.0	779.0	6.0	0.0	0.0	522.0	222.0	420.0	2.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 26	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	инженеры-электроники / 25	2.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	иные педагогические работники / 17	18.0	16.0	14.0	15.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	преподаватели / 15	14.0	14.0	10.0	14.0	0.0	0.0	0.0	7.0	1.0	6.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	проректоры / 04	13.0	13.0	8.0	13.0	0.0	0.0	0.0	12.0	4.0	8.0	0.0	0.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	профессора / 12	82.0	81.0	68.0	64.0	0.0	0.0	0.0	42.0	21.0	25.0	0.0	0.0	0.0
