region	tags	indicator	Число реализуемых образователь-ных программ - всего, ед / 3	Из них / прошли профессио-нально- общественную аккредитацию работодателями и их объедине-ниями / 4	Из них / содержат отдельные дисциплины (модули) в формате онлайн-курсов / 5	Из них / в том числе / онлайн-курсы сторонних организаций, осуществляющих образовательную деятельность / 6	Из них / в том числе / онлайн-курсы в объеме не менее 10% от общей трудоемкости образователь-ной программы / 7	Из них / реализуются полностью в онлайн-формате / 8	Число дисциплин, преподаваемых в рамках образова-тельных программ, реализуемых полностью в онлайн-формате / 9	Численность обучающихся – всего, чел / 10	Сетевая форма реализации образовательных программ / число программ (из графы 3), реализуемых с использованием сетевой формы / 11	Сетевая форма реализации образовательных программ / численность обучающихся (из графы 10) по программам, реализуемым с использованием сетевой формы -всего / 12	Сетевая форма реализации образовательных программ / в том числе (из графы 12) по программам, реализуемым с использованием ресурсов других научных и (или) образовательных организаций / 13	Сетевая форма реализации образовательных программ / в том числе (из графы 13) по очной форме обучения / 14	Сетевая форма реализации образовательных программ / в том числе (из графы 12) с использованием ресурсов иностранных организаций / 15	Сетевая форма реализации образовательных программ / общее число заключенных договоров с организациями на реализацию образовательных программ с использованием сетевой формы, ед / 16	Сетевая форма реализации образовательных программ / из них число заключенных договоров (из графы 16) с использованием ресурсов иностранных организаций / 17	Сетевая форма реализации образовательных программ / число организаций, с которыми заключены договоры на реализацию образовательных программ с использованием сетевой формы, ед / 18	Сетевая форма реализации образовательных программ / в том числе (из графы 18) число иностранных организаций / 19	Электронное обучение / число программ (из графы 3), реализуемых с применением электронного обучения / 20	Электронное обучение / численность обучающихся (из графы 10) с применением электронного обучения / 21	Электронное обучение / в том числе (из графы 21) с применением исключительно электронного обучения / 22	Дистанционные образовательные технологии / число программ (из графы 3), реализуемых с применением дистанционных образовательных технологий / 23	Дистанционные образовательные технологии / численность обучающихся (из графы 10) с применением дистанционных образовательных технологий / 24	Дистанционные образовательные технологии / в том числе (из графы 24) с применением исключительно дистанционных образовательных технологий / 25
Ивановская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ивановская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	399.0	10.0	192.0	13.0	0.0	0.0	6.0	39159.0	2.0	35.0	35.0	35.0	10.0	2.0	1.0	2.0	1.0	278.0	24418.0	0.0	293.0	25897.0	182.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	248.0	11.0	0.0	0.0	0.0	0.0	0.0	7306.0	6.0	66.0	66.0	49.0	29.0	6.0	2.0	3.0	1.0	158.0	4041.0	0.0	174.0	4497.0	150.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	61.0	7.0	8.0	3.0	0.0	0.0	4.0	16441.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	4418.0	0.0	38.0	4659.0	259.0
Иркутская область	персонал; Частные	Образовательные программы бакалавриата / 01	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1202.0	0.0	5.0	1202.0	0.0
Иркутская область	персонал; Частные	Образовательные программы магистратуры / 03	3.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	89.0	0.0	3.0	89.0	0.0
Иркутская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	162.0	2.0	25.0	17.0	0.0	0.0	1.0	8180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	5225.0	0.0	111.0	5234.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	89.0	2.0	11.0	11.0	3.0	0.0	0.0	2308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1812.0	0.0	59.0	1822.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	27.0	0.0	0.0	0.0	0.0	0.0	0.0	5426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5218.0	0.0	18.0	5238.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	85.0	2.0	39.0	2.0	1.0	0.0	0.0	12054.0	6.0	154.0	1.0	0.0	0.0	6.0	0.0	10.0	0.0	67.0	10263.0	0.0	72.0	11053.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	53.0	10.0	3.0	0.0	0.0	0.0	0.0	2038.0	8.0	236.0	99.0	99.0	0.0	8.0	0.0	1.0	0.0	51.0	1886.0	0.0	51.0	1886.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	15.0	1.0	11.0	1.0	0.0	0.0	0.0	4297.0	1.0	165.0	165.0	165.0	0.0	1.0	0.0	0.0	0.0	11.0	3623.0	0.0	11.0	3623.0	0.0
Калининградская область	персонал; Частные	Образовательные программы бакалавриата / 01	16.0	1.0	0.0	0.0	0.0	0.0	0.0	1528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	260.0	0.0	6.0	302.0	0.0
Калининградская область	персонал; Частные	Образовательные программы магистратуры / 03	2.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Калининградская область	персонал; Частные	Образовательные программы специалитета / 02	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Калужская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	184.0	13.0	37.0	22.0	0.0	0.0	6.0	10463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	2119.0	0.0	22.0	1857.0	0.0
Калужская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	67.0	3.0	0.0	0.0	0.0	0.0	0.0	2108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	853.0	0.0	3.0	547.0	0.0
Калужская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	45.0	5.0	19.0	7.0	0.0	0.0	5.0	5171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	2198.0	0.0	14.0	1800.0	0.0
Калужская область	персонал; Частные	Образовательные программы бакалавриата / 01	25.0	0.0	0.0	0.0	0.0	0.0	0.0	1841.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	711.0	0.0	24.0	1801.0	0.0
Калужская область	персонал; Частные	Образовательные программы магистратуры / 03	3.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	17.0	0.0
Калужская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	62.0	10.0	1.0	0.0	0.0	0.0	0.0	2658.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	65.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	33.0	4.0	1.0	0.0	0.0	0.0	0.0	383.0	1.0	5.0	1.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	63.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	4.0	0.0	0.0	0.0	0.0	0.0	0.0	603.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Частные	Образовательные программы бакалавриата / 01	5.0	2.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Камчатский край	персонал; Частные	Образовательные программы специалитета / 02	4.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Карачаево-Черкесская Республика	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	70.0	0.0	0.0	0.0	0.0	0.0	0.0	6780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	43.0	0.0
Карачаево-Черкесская Республика	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	41.0	0.0	1.0	1.0	0.0	0.0	3.0	812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	56.0	0.0
Карачаево-Черкесская Республика	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1941.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Карачаево-Черкесская Республика	персонал; Частные	Образовательные программы бакалавриата / 01	6.0	0.0	0.0	0.0	0.0	0.0	0.0	282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Карачаево-Черкесская Республика	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Карачаево-Черкесская Республика	персонал; Частные	Образовательные программы специалитета / 02	2.0	0.0	0.0	0.0	0.0	0.0	0.0	759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	230.0	9.0	49.0	4.0	13.0	7.0	675.0	27654.0	6.0	45.0	21.0	21.0	0.0	1.0	0.0	1.0	0.0	146.0	17152.0	83.0	101.0	9370.0	83.0
Кемеровская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	109.0	1.0	5.0	3.0	2.0	2.0	43.0	4295.0	5.0	198.0	198.0	177.0	0.0	5.0	0.0	5.0	0.0	65.0	2017.0	50.0	43.0	1211.0	50.0
Кемеровская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	63.0	7.0	14.0	7.0	3.0	2.0	173.0	12533.0	1.0	169.0	169.0	169.0	0.0	1.0	0.0	1.0	0.0	37.0	9201.0	23.0	38.0	8905.0	90.0
Кемеровская область	персонал; Частные	Образовательные программы бакалавриата / 01	1.0	1.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0
Кемеровская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кемеровская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	142.0	3.0	108.0	48.0	103.0	0.0	504.0	15546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	12164.0	0.0	107.0	12164.0	0.0
Кировская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	93.0	1.0	72.0	13.0	72.0	0.0	158.0	2813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	2037.0	0.0	72.0	2037.0	0.0
Кировская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	18.0	1.0	8.0	8.0	8.0	0.0	0.0	5141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	4116.0	0.0	13.0	4116.0	0.0
Кировская область	персонал; Частные	Образовательные программы бакалавриата / 01	18.0	0.0	0.0	0.0	0.0	0.0	0.0	1067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	197.0	0.0	7.0	197.0	0.0
Кировская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кировская область	персонал; Частные	Образовательные программы специалитета / 02	4.0	0.0	0.0	0.0	0.0	0.0	0.0	688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	367.0	0.0	1.0	367.0	0.0
Костромская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	122.0	18.0	27.0	0.0	27.0	0.0	0.0	7855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	2859.0	0.0
Костромская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	52.0	7.0	8.0	0.0	8.0	0.0	0.0	1095.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	235.0	0.0
Костромская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	9.0	4.0	6.0	0.0	4.0	0.0	0.0	858.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	625.0	0.0
Краснодарский край	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	478.0	73.0	43.0	0.0	0.0	4.0	14.0	63908.0	1.0	15.0	15.0	15.0	0.0	1.0	0.0	1.0	0.0	209.0	32085.0	0.0	145.0	12847.0	4.0
Краснодарский край	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	235.0	44.0	2.0	0.0	0.0	0.0	5.0	12153.0	1.0	23.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	91.0	6487.0	0.0	62.0	2770.0	0.0
Краснодарский край	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	56.0	13.0	0.0	0.0	0.0	0.0	0.0	16081.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	4375.0	0.0	9.0	1799.0	0.0
Краснодарский край	персонал; Частные	Образовательные программы бакалавриата / 01	64.0	6.0	0.0	0.0	0.0	0.0	0.0	6985.0	4.0	137.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	20.0	2393.0	0.0	8.0	716.0	0.0
Краснодарский край	персонал; Частные	Образовательные программы магистратуры / 03	24.0	3.0	9.0	9.0	0.0	0.0	1.0	691.0	3.0	36.0	9.0	9.0	0.0	4.0	0.0	3.0	0.0	7.0	274.0	0.0	1.0	3.0	0.0
Краснодарский край	персонал; Частные	Образовательные программы специалитета / 02	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	695.0	0.0	4.0	673.0	0.0
Красноярский край	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	490.0	11.0	65.0	0.0	65.0	1.0	16.0	42256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	18158.0	752.0	145.0	16213.0	613.0
Красноярский край	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	330.0	9.0	30.0	0.0	30.0	1.0	13.0	7974.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	3260.0	342.0	76.0	2677.0	391.0
Красноярский край	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	111.0	3.0	3.0	0.0	3.0	0.0	2.0	14168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	9828.0	141.0	30.0	8437.0	523.0
Красноярский край	персонал; Частные	Образовательные программы бакалавриата / 01	16.0	0.0	0.0	0.0	0.0	0.0	0.0	1075.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	684.0	0.0	8.0	531.0	0.0
Красноярский край	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Красноярский край	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	130.0	20.0	3.0	0.0	0.0	0.0	6.0	11238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	4076.0	0.0	117.0	9331.0	0.0
Курганская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	58.0	6.0	0.0	0.0	0.0	0.0	0.0	1314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	591.0	0.0	52.0	1128.0	0.0
Курганская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	16.0	3.0	0.0	0.0	0.0	0.0	0.0	1358.0	1.0	15.0	15.0	15.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	924.0	0.0
Курганская область	персонал; Частные	Образовательные программы бакалавриата / 01	9.0	0.0	9.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	150.0	0.0
Курганская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курганская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Курская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	285.0	14.0	89.0	0.0	0.0	0.0	32.0	18340.0	2.0	45.0	45.0	45.0	25.0	4.0	2.0	2.0	1.0	31.0	1027.0	0.0	170.0	10979.0	3942.0
Курская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	187.0	1.0	10.0	0.0	0.0	0.0	17.0	5328.0	1.0	15.0	15.0	15.0	0.0	1.0	0.0	1.0	0.0	17.0	289.0	0.0	109.0	2839.0	1368.0
Курская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	37.0	2.0	24.0	0.0	0.0	0.0	2.0	10311.0	4.0	342.0	342.0	342.0	342.0	15.0	15.0	3.0	3.0	1.0	46.0	0.0	7.0	923.0	70.0
Курская область	персонал; Частные	Образовательные программы бакалавриата / 01	30.0	0.0	14.0	14.0	14.0	0.0	0.0	2870.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	963.0	498.0	26.0	2358.0	498.0
Курская область	персонал; Частные	Образовательные программы магистратуры / 03	11.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	151.0	0.0
Курская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	74.0	0.0	2.0	0.0	2.0	0.0	3.0	5449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	859.0	0.0	52.0	2776.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	8.0	0.0	0.0	0.0	0.0	0.0	0.0	594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	287.0	0.0
Ленинградская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	8.0	0.0	2.0	1.0	2.0	0.0	6.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	398.0	0.0	8.0	398.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	410.0	50.0	51.0	6.0	4.0	5.0	4.0	13565.0	7.0	315.0	2.0	2.0	1.0	4.0	1.0	4.0	1.0	127.0	5033.0	0.0	102.0	2828.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	199.0	25.0	4.0	3.0	0.0	0.0	0.0	2607.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	73.0	1278.0	0.0	65.0	842.0	0.0
Липецкая область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	31.0	1.0	4.0	0.0	0.0	0.0	0.0	1101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	1014.0	0.0	17.0	462.0	0.0
Липецкая область	персонал; Частные	Образовательные программы бакалавриата / 01	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1041.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	317.0	0.0	7.0	317.0	0.0
Липецкая область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Липецкая область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Магаданская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	39.0	0.0	0.0	0.0	0.0	0.0	0.0	1794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Магаданская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	14.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Магаданская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	7.0	0.0	0.0	0.0	0.0	0.0	0.0	547.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Московская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	543.0	61.0	119.0	38.0	74.0	0.0	6.0	52791.0	13.0	81.0	23.0	23.0	2.0	11.0	2.0	11.0	2.0	288.0	24265.0	0.0	298.0	24930.0	0.0
Московская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	267.0	20.0	52.0	16.0	21.0	0.0	0.0	8492.0	10.0	56.0	56.0	56.0	13.0	10.0	3.0	9.0	2.0	157.0	4393.0	0.0	149.0	4302.0	0.0
Московская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	36.0	0.0	5.0	1.0	1.0	0.0	0.0	5101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	2973.0	0.0	11.0	1032.0	0.0
Московская область	персонал; Частные	Образовательные программы бакалавриата / 01	84.0	6.0	3.0	3.0	3.0	0.0	0.0	6758.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	964.0	0.0	28.0	2316.0	0.0
Московская область	персонал; Частные	Образовательные программы магистратуры / 03	43.0	7.0	0.0	0.0	0.0	0.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	47.0	0.0	10.0	138.0	0.0
Московская область	персонал; Частные	Образовательные программы специалитета / 02	9.0	0.0	0.0	0.0	0.0	0.0	0.0	707.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	0.0	2.0	23.0	0.0
Мурманская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	126.0	5.0	1.0	0.0	1.0	0.0	0.0	4291.0	10.0	431.0	190.0	19.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	87.0	2523.0	0.0
Мурманская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	35.0	1.0	0.0	0.0	0.0	0.0	0.0	527.0	2.0	21.0	5.0	5.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	23.0	245.0	0.0
Мурманская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	19.0	8.0	0.0	0.0	0.0	0.0	0.0	1493.0	1.0	102.0	102.0	102.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	431.0	0.0
Мурманская область	персонал; Частные	Образовательные программы бакалавриата / 01	10.0	0.0	0.0	0.0	0.0	0.0	0.0	546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	496.0	0.0	6.0	496.0	0.0
Мурманская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Мурманская область	персонал; Частные	Образовательные программы специалитета / 02	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Нижегородская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	524.0	76.0	260.0	80.0	24.0	24.0	45.0	55678.0	14.0	606.0	79.0	79.0	48.0	9.0	3.0	7.0	3.0	383.0	40896.0	0.0	433.0	39489.0	1022.0
Нижегородская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	399.0	75.0	133.0	36.0	17.0	27.0	115.0	10409.0	6.0	56.0	16.0	14.0	4.0	6.0	3.0	6.0	3.0	269.0	7263.0	21.0	322.0	7696.0	632.0
