region	tags	indicator	Всего (сумма гр. 4-6) / 3	в том числе по программам / бакалавриата / 4	в том числе по программам / специалитета / 5	в том числе по программам / магистратуры / 6
Алтайский край	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	36.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	8210.0	2641.0	5375.0	194.0
Алтайский край	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	14704.0	9857.0	2873.0	1974.0
Алтайский край	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	429.0	329.0	95.0	5.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	5783.0	4222.0	1284.0	277.0
Алтайский край	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	6012.0	2321.0	3502.0	189.0
Алтайский край	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	50.0	26.0	17.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	13.0	11.0	1.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	72.0	28.0	30.0	14.0
Алтайский край	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	31.0	19.0	9.0	3.0
Алтайский край	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	1781.0	3.0	1778.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	46.0	30.0	11.0	5.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	28.0	16.0	5.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	юридическими лицами / 08	50.0	26.0	17.0	7.0
Алтайский край	персонал; Частные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность студентов, получающих другие формы материальной поддержки / 15	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность студентов, получающих: государственные академические стипендии / 01	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	бюджетных ассигнований федерального бюджета / 17	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	государственные социальные стипендии / 02	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	из них за счет средств:  стипендиального фонда / 16	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	из них организацией, студентами которой они являются / 09	14.0	14.0	0.0	0.0
Алтайский край	персонал; Частные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	органами государственной власти субъекта Российской Федерации / 06	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	полученных от приносящей доход деятельности / 18	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	стипендии Правительства Российской Федерации / 04	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	стипендии Президента Российской Федерации / 03	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	физическими лицами / 10	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	юридическими лицами / 08	14.0	14.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	5.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	4973.0	2967.0	1692.0	314.0
Амурская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	5838.0	3681.0	1597.0	560.0
Амурская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	2141.0	1664.0	229.0	248.0
Амурская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	1477.0	1032.0	392.0	53.0
Амурская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	2899.0	1344.0	1475.0	80.0
Амурская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	6.0	3.0	3.0	0.0
Амурская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	3.0	2.0	1.0	0.0
Амурская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	4.0	0.0	4.0	0.0
Амурская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	98.0	81.0	6.0	11.0
Амурская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	11.0	10.0	0.0	1.0
Амурская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	8.0	8.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	12.0	12.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	13.0	10.0	3.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	6.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	1876.0	1146.0	171.0	559.0
Архангельская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	6728.0	3963.0	1802.0	963.0
Архангельская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	2535.0	1400.0	951.0	184.0
Архангельская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	1876.0	1146.0	171.0	559.0
Архангельская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	4.0	0.0	4.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	10.0	6.0	0.0	4.0
Архангельская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	8.0	6.0	2.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	12.0	8.0	1.0	3.0
Архангельская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	3.0	0.0	3.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	5.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	528.0	397.0	97.0	34.0
Астраханская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	6682.0	3751.0	1867.0	1064.0
Астраханская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	303.0	206.0	78.0	19.0
Астраханская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	1.0	1.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	1630.0	829.0	749.0	52.0
Астраханская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	125.0	111.0	1.0	13.0
Астраханская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	10.0	5.0	4.0	1.0
Астраханская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	2.0	2.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	21.0	21.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	20.0	14.0	5.0	1.0
Астраханская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	10.0	7.0	1.0	2.0
Астраханская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	7.0	3.0	1.0	3.0
Астраханская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	1.0	1.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	27.0	18.0	6.0	3.0
Астраханская область	персонал; Частные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	Численность студентов, получающих другие формы материальной поддержки / 15	1.0	1.0	0.0	0.0
Астраханская область	персонал; Частные	Численность студентов, получающих: государственные академические стипендии / 01	4.0	4.0	0.0	0.0
Астраханская область	персонал; Частные	бюджетных ассигнований федерального бюджета / 17	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	государственные социальные стипендии / 02	1.0	1.0	0.0	0.0
Астраханская область	персонал; Частные	из них за счет средств:  стипендиального фонда / 16	1.0	1.0	0.0	0.0
Астраханская область	персонал; Частные	из них организацией, студентами которой они являются / 09	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	органами государственной власти субъекта Российской Федерации / 06	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	полученных от приносящей доход деятельности / 18	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	стипендии Правительства Российской Федерации / 04	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	стипендии Президента Российской Федерации / 03	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	физическими лицами / 10	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	юридическими лицами / 08	0.0	0.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	64.0	0.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	2235.0	1615.0	460.0	160.0
Белгородская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	10400.0	6464.0	2238.0	1698.0
Белгородская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	1274.0	909.0	314.0	51.0
Белгородская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	1305.0	894.0	284.0	127.0
Белгородская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	662.0	467.0	134.0	61.0
Белгородская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	112.0	75.0	37.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	2.0	2.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	86.0	55.0	20.0	11.0
Белгородская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	47.0	35.0	12.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	394.0	281.0	64.0	49.0
Белгородская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	39.0	25.0	3.0	11.0
Белгородская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	43.0	34.0	4.0	5.0
Белгородская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	2.0	2.0	0.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	физическими лицами / 10	12.0	9.0	3.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	136.0	75.0	60.0	1.0
Белгородская область	персонал; Частные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	Численность студентов, получающих другие формы материальной поддержки / 15	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	Численность студентов, получающих: государственные академические стипендии / 01	72.0	26.0	0.0	46.0
Белгородская область	персонал; Частные	бюджетных ассигнований федерального бюджета / 17	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	государственные социальные стипендии / 02	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	из них за счет средств:  стипендиального фонда / 16	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	из них организацией, студентами которой они являются / 09	13.0	8.0	4.0	1.0
Белгородская область	персонал; Частные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	органами государственной власти субъекта Российской Федерации / 06	9.0	4.0	3.0	2.0
Белгородская область	персонал; Частные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	полученных от приносящей доход деятельности / 18	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	стипендии Правительства Российской Федерации / 04	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	стипендии Президента Российской Федерации / 03	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	физическими лицами / 10	0.0	0.0	0.0	0.0
Белгородская область	персонал; Частные	юридическими лицами / 08	13.0	8.0	4.0	1.0
Брянская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	1409.0	1114.0	118.0	177.0
Брянская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	5155.0	3904.0	516.0	735.0
Брянская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	87.0	82.0	0.0	5.0
Брянская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	2306.0	1953.0	185.0	168.0
Брянская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	1273.0	987.0	114.0	172.0
Брянская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	1.0	0.0	1.0	0.0
Брянская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	10.0	7.0	3.0	0.0
Брянская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	9.0	5.0	4.0	0.0
Брянская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	24.0	13.0	5.0	6.0
Брянская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	13.0	9.0	1.0	3.0
Брянская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	5.0	1.0	3.0	1.0
Владимирская область	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	855.0	727.0	81.0	47.0
Владимирская область	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	5829.0	4669.0	305.0	855.0
Владимирская область	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	15.0	13.0	1.0	1.0
Владимирская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	1583.0	1398.0	107.0	78.0
Владимирская область	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	798.0	677.0	75.0	46.0
Владимирская область	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	42.0	37.0	5.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	33.0	27.0	2.0	4.0
Владимирская область	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	18.0	8.0	2.0	8.0
Владимирская область	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	физическими лицами / 10	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	юридическими лицами / 08	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	Численность слушателей подготовительных отделений, получающих стипендии / 19	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	Численность студентов, получающих другие формы материальной поддержки / 15	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	Численность студентов, получающих: государственные академические стипендии / 01	12.0	12.0	0.0	0.0
Владимирская область	персонал; Частные	бюджетных ассигнований федерального бюджета / 17	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	государственные социальные стипендии / 02	2.0	2.0	0.0	0.0
Владимирская область	персонал; Частные	из них за счет средств:  стипендиального фонда / 16	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	из них организацией, студентами которой они являются / 09	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	именные стипендии, учрежденные: федеральными государственными органами / 05	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	органами государственной власти субъекта Российской Федерации / 06	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	органами местного самоуправления / 07	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	полученных от приносящей доход деятельности / 18	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	стипендии Правительства Российской Федерации / 04	0.0	0.0	0.0	0.0
