region	tags	indicator	Код: да - 1, нет - 2 / 3
Астраханская область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	9.0
Астраханская область	персонал; Государственные, Муниципальные	Студенческие советы / 10	9.0
Астраханская область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	8.0
Астраханская область	персонал; Государственные, Муниципальные	другие / 09	6.0
Астраханская область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	5.0
Астраханская область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	1.0
Астраханская область	персонал; Государственные, Муниципальные	попечительский совет / 06	3.0
Астраханская область	персонал; Государственные, Муниципальные	управляющий совет / 07	2.0
Астраханская область	персонал; Государственные, Муниципальные	ученый совет / 05	7.0
Астраханская область	персонал; Частные	Коллегиальные органы управления / 03	3.0
Астраханская область	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	3.0
Астраханская область	персонал; Частные	Профессиональные союзы работников / 12	1.0
Астраханская область	персонал; Частные	Профессиональные союзы студентов / 11	1.0
Астраханская область	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	1.0
Астраханская область	персонал; Частные	Студенческие советы / 10	2.0
Астраханская область	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	0.0
Астраханская область	персонал; Частные	другие / 09	3.0
Астраханская область	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	1.0
Астраханская область	персонал; Частные	наблюдательный совет / 08	1.0
Астраханская область	персонал; Частные	попечительский совет / 06	0.0
Астраханская область	персонал; Частные	управляющий совет / 07	1.0
Астраханская область	персонал; Частные	ученый совет / 05	1.0
Белгородская область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	9.0
Белгородская область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	9.0
Белгородская область	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	8.0
Белгородская область	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	7.0
Белгородская область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	9.0
Белгородская область	персонал; Государственные, Муниципальные	Студенческие советы / 10	9.0
Белгородская область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	8.0
Белгородская область	персонал; Государственные, Муниципальные	другие / 09	8.0
Белгородская область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	8.0
Белгородская область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	2.0
Белгородская область	персонал; Государственные, Муниципальные	попечительский совет / 06	1.0
Белгородская область	персонал; Государственные, Муниципальные	управляющий совет / 07	1.0
