region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) / 3	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / всего / 4	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / из них жен-щины / 5	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / всего / 6	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / из них жен-щины / 7	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / всего / 8	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / из них жен-щины / 9	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / всего / 10	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / из них жен-щины / 11	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / всего / 12	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / из них жен-щины / 13	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / всего / 14	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / из них жен-щины / 15	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / всего / 16	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / из них жен-щины / 17	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / всего / 18	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / из них жен-щины / 19	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / всего / 20	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / из них жен-щины / 21	Число полных лет по состоянию на 1 января следующего года / 65 и более / всего / 22	Число полных лет по состоянию на 1 января следующего года / 65 и более / из них жен-щины / 23
Архангельская область	персонал; Государственные, Муниципальные	из них:  ректор / 03	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	инженерно-технический персонал / 20	107.0	14.0	5.0	12.0	6.0	15.0	6.0	19.0	7.0	20.0	9.0	7.0	3.0	8.0	2.0	4.0	0.0	4.0	2.0	4.0	1.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 30	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры-электроники / 29	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	иные педагогические работники / 18	28.0	1.0	0.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	3.0	5.0	5.0	4.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	научные работники / 19	37.0	4.0	0.0	12.0	4.0	7.0	2.0	6.0	4.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	обслуживающий персонал / 24	343.0	12.0	10.0	5.0	4.0	20.0	15.0	12.0	12.0	37.0	24.0	42.0	27.0	49.0	31.0	42.0	22.0	57.0	39.0	67.0	47.0
Архангельская область	персонал; Государственные, Муниципальные	педагогические работники - всего (сумма строк 08,18): / 07	930.0	7.0	3.0	24.0	14.0	66.0	43.0	106.0	67.0	157.0	109.0	160.0	116.0	105.0	80.0	74.0	52.0	99.0	58.0	132.0	53.0
Архангельская область	персонал; Государственные, Муниципальные	президент / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
