region	tags	indicator	Всего / 3
Владимирская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	14.0
Владимирская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	1.0
Владимирская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	1.0
Волгоградская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	919.0
Волгоградская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	472.0
Волгоградская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	67.0
Волгоградская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	35.0
Вологодская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	738.0
Вологодская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	665.0
Воронежская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	1351.0
Воронежская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	805.0
Воронежская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	54.0
Воронежская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	49.0
Забайкальский край	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	569.0
