region	tags	indicator	Всего > 3.0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	15
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	141
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	97
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	4
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	120
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	912
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	53
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	1030
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	112
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	7
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	187
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	253
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	96
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	472
Красноярский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	22
Красноярский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Красноярский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	37
Курганская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	144
Курганская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	100
Курганская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	260
Курганская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	10
Курганская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Курганская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	10
Курская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	194
Курская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	205
Курская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	414
Курская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	53
Курская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Курская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	53
Ленинградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	107
Ленинградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	2
Ленинградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	179
Ленинградская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	6
Ленинградская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Ленинградская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	7
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	71
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	102
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	262
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	6
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	6
Магаданская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	2
Магаданская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Магаданская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	3
Московская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	484
Московская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	48
Московская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	592
Московская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	197
Московская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	15
Московская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	215
Мурманская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	166
Мурманская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	1
Мурманская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	175
Мурманская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	16
Мурманская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Мурманская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	16
Ненецкий автономный округ	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	2
Ненецкий автономный округ	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Ненецкий автономный округ	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	3
Нижегородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	682
Нижегородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	106
Нижегородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	1034
Нижегородская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	212
Нижегородская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Нижегородская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	212
Новгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	173
Новгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Новгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	285
Новгородская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	0
Новгородская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Новгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	0
Новосибирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	636
Новосибирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	15
Новосибирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	1025
Новосибирская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	59
Новосибирская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Новосибирская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	59
Омская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	328
Омская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	21
Омская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	377
Омская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	78
Омская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	19
Омская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	142
Оренбургская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	503
Оренбургская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	51
Оренбургская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	682
Оренбургская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	13
Оренбургская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Оренбургская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	14
Орловская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	187
Орловская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	6
Орловская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	229
Пензенская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	121
Пензенская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	30
Пензенская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	158
Пензенская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	26
Пензенская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Пензенская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	26
Пермский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	269
Пермский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	60
Пермский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	490
Пермский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	227
Пермский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Пермский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	232
Приморский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	268
Приморский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	25
Приморский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	368
Приморский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	66
Приморский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
