region	tags	indicator	"Дистанционные образовательные технологии > в том числе (из графы 17) 
с применением исключительно дистанционных 
образовательных технологий > 18.0"	"Дистанционные образовательные технологии > численность обучающихся 
(из графы 5) 
по программам 
с применением дистанционных образовательных технологий > 17.0"	"Дистанционные образовательные технологии > число программ (из графы 3), реализуемых 
с применением дистанционных образовательных технологий > 16.0"	Сетевая форма реализации образовательных программ > в том числе (из графы 11) число иностранных организаций > 12.0	Сетевая форма реализации образовательных программ > в том числе (из графы 7) с использова-нием ресурсов иностранных организаций > 8.0	"Сетевая форма реализации образовательных программ > из них число заключенных договоров 
(из графы 9) с использованием ресурсов иностранных организаций > 10.0"	Сетевая форма реализации образовательных программ > общее число заключенных договоров с организациями на реализацию образовательных программ с использованием сетевой формы, единиц > 9.0	Сетевая форма реализации образовательных программ > численность обучающихся (из графы 5) по программам, реализуемым с использованием сетевой формы - всего > 7.0	"Сетевая форма реализации образовательных программ > число организаций, 
с которыми заключены договоры на реализацию образовательных программ с использованием сетевой формы, единиц  > 11.0"	Сетевая форма реализации образовательных программ > число программ (из графы 3), реализуе-мых с использова-нием сетевой формы  > 6.0	Численность обучающихся - всего, человек > 5.0	Число реализуемых образователь-ных программ -всего, единиц > 3.0	"Электронное обучение > в том числе (из графы 14) 
с применением  исключительно электронного обучения > 15.0"	"Электронное обучение > численность обучающихся 
(из графы 5) по программам 
с применением электронного обучения > 14.0"	Электронное обучение > число программ (из графы 3), реализуемых с применением электронного обучения > 13.0	из них прошли профессионально - общественную аккредитацию работодателями и их объединениями > 4.0
Белгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1913	50	0	0	0	46	1913	20	50	2071	54	0	1913	50	0
Брянская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1625	27	0	0	0	8	271	7	6	4848	86	0	842	18	15
Брянская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	11	6573	78	0	0	0	30	1743	23	32	22261	247	0	3014	48	67
Брянская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	22	3	0	0	0	0
Брянская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1028	12	0	699	7	0
Владимирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	6324	123	0	0	0	45	1632	45	29	6850	123	0	6850	123	19
Владимирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	652	19581	215	0	0	0	43	2174	43	31	24486	260	0	23596	238	43
Владимирская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Владимирская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1181	14	0	0	0	3	191	3	5	1786	23	0	1348	16	7
Волгоградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2550	66	0	0	0	109	2556	96	66	7474	203	0	2774	71	25
Волгоградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	30884	409	0	0	0	196	10173	178	162	51986	1114	0	22238	267	25
Волгоградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	47	1	0	0	0	1
Волгоградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1212	21	0	0	0	2	101	2	2	5519	69	0	299	23	24
Вологодская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1987	33	0	0	0	54	2416	36	39	6089	97	0	1524	27	6
Вологодская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	104	9394	124	0	0	0	66	6893	57	83	25826	319	0	4791	53	17
Вологодская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Вологодская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1224	22	0	756	10	12
Воронежская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2450	62	1	168	1	131	2224	127	60	7079	144	0	1753	50	15
Воронежская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	11094	143	2	294	2	238	6894	235	104	41432	446	0	7480	99	69
Воронежская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0
Воронежская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	647	6	0	0	0	0	0	0	0	6395	53	0	0	0	3
Еврейская автономная область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	1	20	1	1	962	22	0	0	0	0
Еврейская автономная область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	369	2	0	0	0	6	126	6	2	2066	35	0	1434	17	0
Забайкальский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	25	1628	23	0	0	0	4	169	4	2	6506	89	0	1395	19	16
Забайкальский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	154	7733	67	0	0	0	58	1875	26	20	23139	195	1661	8012	59	44
Забайкальский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Забайкальский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	837	13	0	0	0	1	139	1	2	1212	17	0	0	0	2
Ивановская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	992	23	0	0	0	5	284	7	8	4692	104	0	518	17	8
Ивановская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	4022	65	0	0	0	11	358	11	9	15491	242	0	3774	76	23
Ивановская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ивановская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2010	19	0	0	0	5	946	5	8	3072	25	0	859	7	5
Иркутская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	3130	56	0	0	0	25	856	17	24	12911	213	0	2406	36	26
Иркутская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	13776	128	0	0	0	97	3205	81	44	52844	486	0	15309	136	99
Иркутская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Иркутская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	11	648	5	0	0	0	4	193	4	8	4341	42	0	637	4	4
Кабардино-Балкарская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	614	7	0	0	0	1	58	1	1	3173	56	0	3	3	7
Кабардино-Балкарская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	6617	57	0	0	0	1	33	1	2	12652	121	0	5879	56	12
Кабардино-Балкарская Республика	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Кабардино-Балкарская Республика	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2554	10	0	0	0	0	0	0	0	2724	16	0	2554	10	0
Калининградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1700	25	0	0	0	12	408	11	9	2863	49	0	171	2	3
Калининградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	10058	121	0	0	0	30	3166	34	32	18974	221	0	3718	51	25
Калининградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Калининградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2213	32	0	0	0	1	509	1	4	4687	64	0	2292	27	6
Калужская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	62	1298	62	32	2403	53	0	250	5	16
Калужская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	3216	43	0	0	0	304	3978	302	74	17699	204	0	3160	42	45
Калужская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	81	2	0	0	0	0
Калужская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	520	11	0	0	0	3	144	1	3	2630	45	0	0	0	6
Камчатский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	661	11	0	0	0	21	355	21	7	1445	42	0	661	11	8
Камчатский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1085	15	0	0	0	22	419	22	8	5024	77	0	1085	15	14
Камчатский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	15	1	0	0	0	1	15	1	1	15	1	0	15	1	0
Камчатский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	949	17	2	75	2	17	736	17	17	957	17	0	949	17	4
Карачаево-Черкесская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	206	6	0	0	0	2	284	3	3	1136	23	0	235	7	16
Карачаево-Черкесская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	842	16	0	0	0	6	360	6	3	7427	89	0	430	8	42
